ARTIFACT_NUM,TYPE_num,WEAT_num,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
1,1,0,70.9911753105974,0.0102448519618891,10.2293645081908,6.47142979897556,0.890845557770369,4.02416441613512,1.78169111554074,3.9627267914613,0.0102448519618891,0.0102448519618891,1.19803368113946,0.0102448519618891,0.0102448519618891,0.399344560379821
2,0,1,36.3054079679859,0.0100110121133247,1.05073534637225,2.3416387719153,1.18082638925643,5.73401289020285,1.8613026135737,0.260182085768367,47.4632166461293,0.0100110121133247,3.57250017766565,0.190133062676883,0.0100110121133247,0.0100110121133247
3,1,0,86.989065,0.01,5.186367,2.008593,0.01,4.057158,0.01,0.779454,0.249825,0.01,0.659538,0.01,0.01,0.01
3,1,0,62.390045818998,0.0101132686084142,12.5063177245342,5.93468755400289,1.1222322291215,5.56061014429572,2.18380325666886,5.14609193353913,1.42553823699218,2.89151727503378,0.70771401836491,0.101102002623559,0.0101132686084142,0.0101132686084142
4,1,0,68.5464386132808,0.0104101603164689,10.0613852670071,7.40817612213964,1.62313971215419,6.70065368350833,2.1433767993831,2.26823370031804,0.0104101603164689,0.0104101603164689,0.821974597821673,0.0104101603164689,0.0104101603164689,0.374570702804813
5,1,0,63.7804136941694,0.0103616205574552,11.3412720031042,7.61263463222061,1.83324670735108,7.76799452267409,2.71361941992082,3.3868456118859,0.0103616205574552,0.0103616205574552,0.973588646841819,0.0621439561813927,0.0103616205574552,0.48679432342091
6,1,0,68.3609427428848,0.0101091791346543,7.44745229881834,0.0101091791346543,2.00080808027955,11.2671768157157,2.41511682417583,2.53637791995034,0.202101826290864,1.39450260140696,4.22392816947906,0.111156004459975,0.0101091791346543,0.0101091791346543
6,1,0,60.4935718519365,0.0101173613921489,7.76777515169491,5.47183119409759,1.74977226724378,10.1648620149133,6.10903149951006,2.2049153425384,0.354000169673596,0.981086184523966,4.55143075294624,0.121371486745233,0.0101173613921489,0.0101173613921489
7,1,1,92.8341755456942,0.0100300902708124,0.0100300902708124,1.07235849977213,0.0100300902708124,1.98436432668115,0.170374714917068,3.24714162547824,0.0100300902708124,0.0100300902708124,0.611344565290656,0.0100300902708124,0.0100300902708124,0.0100300902708124
8,0,1,20.1662110211524,0.0100180324584252,0.0100180324584252,1.48192613263682,0.0100180324584252,1.34174393090091,0.0100180324584252,10.4235480005063,28.7173253270433,31.2706440015189,3.59467217308527,0.370481533159206,0.0100180324584252,2.58335771770473
8,0,1,4.69020124716177,0.0101791530944625,0.0101791530944625,3.24549717536791,0.0101791530944625,1.12931092935999,0.0101791530944625,3.19462731368503,33.0145402321908,31.1527032945973,7.69152308645184,0.539220533838555,0.0101791530944625,15.2914804218745
9,1,1,95.1722287913499,0.0100230530219505,0.590945221920611,0.620993284052167,0.0100230530219505,1.32211473378849,0.320512662736602,1.55248321013042,0.0100230530219505,0.0100230530219505,0.350560724868159,0.0100230530219505,0.0100230530219505,0.0100230530219505
10,1,1,96.8765019833646,0.0100190361687206,0.921012522731171,0.210231119319072,0.0100190361687206,0.810891460230705,0.260286147728374,0.840924477276287,0.0100190361687206,0.0100190361687206,0.0100190361687206,0.0100190361687206,0.0100190361687206,0.0100190361687206
11,0,1,35.1985686823646,0.0104832791697243,0.220056547284804,3.67808800461743,0.744000707486718,2.8188195818863,0.0104832791697243,5.16608941959087,26.6058844550532,15.3096483610999,9.8291924453879,0.387718678549416,0.0104832791697243,0.0104832791697243
12,1,1,94.6306236430995,0.0100431856985036,1.01364863590551,0.722601007774224,0.0100431856985036,1.4652742657644,0.291047628131285,1.65596064281593,0.0100431856985036,0.0100431856985036,0.15054187661963,0.0100431856985036,0.0100431856985036,0.0100431856985036
