item_id,cat_name,avg_daily_sales,replenish_kg,avg_price,daily_profit
102900005116714,花菜类,12.5577142857143,12.5577142857143,12.6285714285714,52.5062106129153
102900011031100,辣椒类,21.4285714285714,21.4285714285714,5.76928571428571,55.6590982873738
102900011030059,花叶类,32.2857142857143,32.2857142857143,4.36842417732116,57.2220509383277
102900011034026,花菜类,6.30075,6.30075,13.3236111111111,31.5705366934395
102900011030097,花叶类,21.2857142857143,21.2857142857143,4.1091251755763,37.9063999920067
102900005115250,食用菌,4.62414285714286,4.62414285714286,24,40.3015453305668
102900005116257,茄类,10.9028571428571,10.9028571428571,6,22.7670039471208
102900011000328,辣椒类,6.84242857142857,6.84242857142857,11.4285714285714,26.7525316598415
102900011016701,辣椒类,14.2334285714286,14.2334285714286,5.2,21.9321564578862
102900011032251,辣椒类,11.2857142857143,11.2857142857143,4.95624060150376,23.0379049365187
102900011034330,食用菌,10,10,5.03393598465027,17.6419218571301
102900005116899,水生根茎类,6.02628571428571,6.02628571428571,14.3427853192559,27.1469793776864
102900011032848,辣椒类,7,7,4.67559523809524,19.3122477777438
102900011022764,茄类,4.21442857142857,4.21442857142857,12,19.1133734645884
102900005115786,花叶类,13.2967142857143,13.2967142857143,3.74285714285714,17.8365496523958
102900011008164,花叶类,7.49316666666667,7.49316666666667,4.8,14.5679761917202
102900051000944,水生根茎类,4.03314285714286,4.03314285714286,20.9945578231293,25.6226556934319
102900011030110,花叶类,9.8,9.8,5.32739393939394,21.2840450451306
102900011023464,花叶类,4.90085714285714,4.90085714285714,5.2,10.7276246700447
102900011035078,辣椒类,2.03571428571429,2.5,18.8427637721755,14.9218374004566
102900005115762,花叶类,8.923,8.923,3.74285714285714,12.3018509342107
102900005115946,花叶类,5.93342857142857,5.93342857142857,5.46012698412698,14.3949482177799
102900005115779,花叶类,2.92075,2.92075,9.2,10.438110486886
102900011006948,花叶类,2.17933333333333,2.5,12.8,10.8888851604645
102900005118824,水生根茎类,3.00442857142857,3.00442857142857,13.5181199752628,16.9807918701012
102900005115823,花叶类,3.86128571428571,3.86128571428571,8,12.6788046567705
102900011032022,辣椒类,11.2857142857143,11.2857142857143,2.56751221001221,13.1795057157958
102900005118817,花叶类,2.27333333333333,2.5,14,11.7551270606161
102900005118831,花叶类,10.4285714285714,10.4285714285714,6.49973463069438,25.0834891948075
102900011032343,辣椒类,1.217,2.5,19.4807142857143,11.189292092477
102900011001691,水生根茎类,2.03733333333333,2.5,14,9.79313834801724
102900005119975,花叶类,4.50657142857143,4.50657142857143,5.37142857142857,9.33889892874396
106971533450003,食用菌,8.85714285714286,8.85714285714286,2.71588411588412,7.52427654266777
